what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228909130841
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228909132252
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228909631555
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1228909644803
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.indent,1228909645777
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228909648021
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1228909731298
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228909733669
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228909733712
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228909733713
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1228909735448
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228909735448
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228909736207
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228909737784
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228909738623
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228909740099
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228909753202
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228910340418
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228910341222
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228910674880
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228910678407
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228910832516
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1228910834576
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228910851930
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1228910854753
