what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949109087
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949231843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949233732
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949255520
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949256094
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949258635
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228949259429
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228949259429
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949262412
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949270048
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1228949273837
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228949276180
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228949294939
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228949298203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949299527
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949306663
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1228949307956
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228949310951
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228949310961
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228949312146
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228949312950
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228949313722
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228949313722
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949315242
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228949338297
